College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[Saint Elizabeth University](https://www.steu.edu/-/seu-announces-mandatory-student-covid-19-vaccines-for-fall-2021-050621)@@Saint Elizabeth University,6-May-21,Private,NJ,--,--,✓,--,--,D
[Saint Francis Medical Center College of Nursing](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Saint Francis Medical Center College of Nursing,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Saint Johns University](https://www.csbsju.edu/covid-19/campus-communications/080421-vaccination-requirement)@@Saint Johns University,4-Aug-21,Private,MN,✓,--,✓,--,--,D
[Saint Joseph's College of Maine](https://www.sjcme.edu/highlights/fall-semester-2021-moving-toward-normal/)@@Saint Joseph's College of Maine,12-May-21,Private,ME,✓,--,✓,--,--,D
[Saint Joseph's University](https://www.sju.edu/hawk-hill-ahead/announcements/june-10-vaccination-requirement)@@Saint Joseph's University,10-Jun-21,Private,PA,✓,--,✓,--,--,D
[Saint Louis University](https://www.slu.edu/health-advisory/messages/slu-to-require-covid-19-vaccine.php)@@Saint Louis University,8-Jun-21,Private,MO,✓,--,✓,--,--,R
[Saint Martin's University](https://www.stmartin.edu/coronavirus)@@Saint Martin's University,--,Private,WA,✓,--,✓,--,--,D
[Saint Mary's College](https://www.saintmarys.edu/live-learn-work/covid-19-vaccine-boosters)@@Saint Mary's College,12-Apr-21,Private,IN,✓,--,✓,--,✓,R
[Saint Mary's College of California](https://www.stmarys-ca.edu/students-covid-19-vaccines-will-be-required-for-fall-2021)@@Saint Mary's College of California,30-Apr-21,Private,CA,--,--,✓,--,--,D
[Saint Mary's University of Minnesota](https://newsroom.smumn.edu/2021/08/23/covid-19-update-following-fda-approval/)@@Saint Mary's University of Minnesota,23-Aug-21,Private,MN,✓,--,✓,--,--,D
[Saint Michael's College](https://www.smcvt.edu/return-to-campus/updates-and-community-messages/)@@Saint Michael's College,23-Apr-21,Private,VT,--,--,✓,--,--,D
[Saint Peter's University](https://www.saintpeters.edu/?post_type=notification&p=13532)@@Saint Peter's University,11-May-21,Private,NJ,✓,--,✓,--,--,D
[Saint Xavier University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Saint Xavier University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Salem College](https://www.salem.edu/readystrong/healthsafety/covid-19-vaccine)@@Salem College,--,Private,NC,--,--,✓,--,--,R
[Salem State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Salem State University,26-Apr-21,Public,MA,--,--,✓,--,--,D
[Salem State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Salem State University,26-Apr-21,Public,MA,--,--,✓,--,--,D
[Salisbury University](https://www.usmd.edu/newsroom/news/2154)@@Salisbury University,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[Salus University](https://www.salus.edu/Salus/media/Images/Vaccine-Requirement.pdf)@@Salus University,17-Jun-21,Private,PA,✓,--,✓,--,--,D
[Salve Regina University](https://salve.edu/june-8-salve-regina-community-vaccination-status-and-returning-salve-regina)@@Salve Regina University,8-Jun-21,Private,RI,✓,--,✓,--,--,D
[Samuel Merritt University](https://www.samuelmerritt.edu/coronavirus)@@Samuel Merritt University,16-Apr-21,Private,CA,✓,--,✓,--,--,D
[San Diego State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@San Diego State University,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[San Francisco State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@San Francisco State University,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[San Jose State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@San Jose State University,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[Santa Barbara City College](https://www.sbcc.edu/newsandevents/covid-19/vaccine-requirement-info/)@@Santa Barbara City College,5-Aug-21,Public,CA,✓,--,✓,--,--,D
[Santa Clara University](https://www.scu.edu/kob/vaccine-update/)@@Santa Clara University,27-Apr-21,Private,CA,✓,--,✓,--,--,D
[Santa Fe Community College](https://www.sfcc.edu/covid/vax-requirement/)@@Santa Fe Community College,--,Public,NM,✓,--,✓,--,--,D
[Santa Monica College](https://www.smc.edu/news/presidents-messages/2021-08-04-smc-board-unanimously-approves-mandatory-vaccination-program.php)@@Santa Monica College,4-Aug-21,Public,CA,✓,--,✓,--,--,D
[Santa Rosa Junior College](https://pr.santarosa.edu/vaccine-requirement-announcement)@@Santa Rosa Junior College,15-Sep-21,Public,CA,✓,--,✓,--,--,D
[Sarah Lawrence College](https://www.sarahlawrence.edu/covid-information/#accordion-7-1-1-1)@@Sarah Lawrence College,22-Apr-21,Private,NY,✓,--,✓,--,✓,D
[Sauk Valley Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Sauk Valley Community College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Schenectady County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Schenectady County Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[School for International Training](https://studyabroad.sit.edu/health-safety-and-well-being/risk-management/sit-updated-risk-and-safety-message-for-undergraduate-students/)@@School for International Training,--,Private,VT,--,--,✓,--,--,D
[School of the Art Institute of Chicago](https://www.saic.edu/covid19/communications)@@School of the Art Institute of Chicago,11-May-21,Private,IL,✓,--,✓,--,✓,D
[School of Visual Arts](https://sva.edu/features/reopening-sva)@@School of Visual Arts,26-Apr-21,For-profit,NY,✓,--,✓,--,--,D
[Scripps College](https://www.scrippscollege.edu/news/campus-news/scripps-summer-fall-update)@@Scripps College,26-Apr-21,Private,CA,--,--,✓,--,--,D
[Seattle Central College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Seattle Central College,20-Aug-21,Public,WA,✓,--,✓,--,--,D
Seattle Film Institute,26-Apr-21,For-profit,WA,✓,--,✓,--,--,D
[Seattle Institute of East Asian Medicine](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Seattle Institute of East Asian Medicine,20-Aug-21,For-profit,WA,✓,--,--,--,--,D
[Seattle Pacific University](https://spu.edu/about-spu/press-room/Press/vaccination-requirements)@@Seattle Pacific University,7-May-21,Private,WA,✓,--,✓,--,--,D
[Seattle School of Theology and Psychology](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Seattle School of Theology and Psychology,20-Aug-21,Private,WA,✓,--,--,--,--,D
[Seattle University](https://www.seattleu.edu/coronavirus/covid-19-vaccinations-required-for-students-attending-su-in-fall-2021.php)@@Seattle University,13-Apr-21,Private,WA,✓,--,✓,--,--,D
[Seton Hall University](https://www.shu.edu/health-intervention-communication/vaccine-requirement-and-declaration.cfm)@@Seton Hall University,14-May-21,Private,NJ,✓,--,✓,--,--,D
[Seton Hill University](https://www.setonhill.edu/student-life/counseling-disability-health-services/coronavirus-updates/)@@Seton Hill University,21-Jun-21,Private,PA,✓,--,✓,--,--,D
[Shaw University](https://www.shawu.edu/Archives/2021/Vaccine_Policy/)@@Shaw University,--,Private,NC,--,--,✓,--,--,R
[Shawnee Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Shawnee Community College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Shoreline Community College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Shoreline Community College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Siena College](https://www.siena.edu/life-as-a-saint/marching-forward/mask-mandate-update-vaccination-requirements-for-fall/)@@Siena College,--,Private,NY,✓,--,✓,--,✓,D
[Simmons University](https://www.simmons.edu/coronavirus/covid-vaccine-requirement)@@Simmons University,26-Apr-21,Private,MA,--,--,✓,--,--,D
[Skagit Valley College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Skagit Valley College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Skidmore College](https://www.skidmore.edu/campus-planning/messages/2021/0421-covid19-vaccinations.php)@@Skidmore College,21-Apr-21,Private,NY,✓,--,✓,--,--,D
[Smith College](https://www.smith.edu/president-kathleen-mccartney/letters-community/2020-21/student-vaccination-against-covid-19)@@Smith College,21-Apr-21,Private,MA,✓,--,✓,--,✓,D
[Soka University of America](https://www.soka.edu/coronavirus-update)@@Soka University of America,--,Private,CA,✓,--,✓,--,--,D
[Sonoma State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@Sonoma State University,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[South Louisiana Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@South Louisiana Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[South Puget Sound Community College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@South Puget Sound Community College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[South Seattle College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@South Seattle College,20-Aug-21,Public,WA,✓,--,✓,--,--,D
[South Suburban College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@South Suburban College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Southeastern Illinois College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Southeastern Illinois College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Southeastern Louisiana University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@Southeastern Louisiana University,23-Aug-21,Public,LA,--,--,✓,--,--,R
[Southern California Institute of Architecture](https://www.sciarc.edu/institution/covid-19-updates-and-resources)@@Southern California Institute of Architecture,--,Private,CA,✓,--,✓,--,--,D
[Southern Connecticut State University](https://www.ct.edu/covid19#faqs)@@Southern Connecticut State University,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Southern Illinois University at Carbondale](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Southern Illinois University at Carbondale,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Southern Illinois University at Edwardsville](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Southern Illinois University at Edwardsville,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Southern Maine Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Southern Maine Community College,12-Aug-21,Public,ME,--,--,✓,--,✓,D
[Southern New Hampshire University](https://www.snhu.edu/about-us/covid-19)@@Southern New Hampshire University,23-Apr-21,Private,NH,--,--,✓,--,--,D
[Southern Oregon University](https://sou.edu/campus/covid-19-and-sou/)@@Southern Oregon University,--,Public,OR,✓,--,✓,--,--,D
[Southern University and A&M College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Southern University and A&M College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Southern University at New Orleans](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Southern University at New Orleans,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Southern University at Shreveport](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Southern University at Shreveport,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Southern University Law Center](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Southern University Law Center,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Southwestern College](http://news.swccd.edu/2021/04/southwestern-college-to-expand-in-person-classes-fall-2021-require-vaccinations/)@@Southwestern College,28-Apr-21,Public,CA,✓,--,✓,--,--,D
[Southwestern Illinois College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Southwestern Illinois College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Southwestern University](https://www.southwestern.edu/live/news/14857-student-covid-19-health-and-safety-protocols)@@Southwestern University,14-Jul-21,Private,TX,--,--,✓,--,--,R
[Sowela Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Sowela Technical Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Spelman College](https://www.ajc.com/education/emory-and-atlantas-to-require-students-get-covid-19-vaccine/4M3BJZVT5JFVJC6HVB6VGFX5OI/)@@Spelman College,19-Apr-21,Private,GA,✓,--,✓,--,--,D
[Spertus College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Spertus College,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Spokane Community College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Spokane Community College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Spokane Falls Community College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Spokane Falls Community College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Spoon River College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Spoon River College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Springfield College](https://www.wwlp.com/news/local-news/hampden-county/springfield-college-students-required-to-be-fully-vaccinated-for-fall-semester/)@@Springfield College,4-May-21,Private,MA,✓,--,✓,--,--,D
[Springfield Technical Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Springfield Technical Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
[St Olaf College](https://wp.stolaf.edu/covid-19/faq/vaccines/)@@St Olaf College,--,Private,MN,✓,--,✓,--,✓,D
[St. Bonaventure University](https://www.sbu.edu/news/news-items/2021/06/23/vaccines-required-for-sbu-students-this-fall)@@St. Bonaventure University,23-Jun-21,Private,NY,--,--,✓,--,--,D
[St. Catherine University](https://www.stkate.edu/newswire/news/vaccination-requirements-fall-2021-june-28-2021)@@St. Catherine University,28-Jun-21,Private,MN,✓,--,✓,--,--,D
[St. Edward's University](https://www.texastribune.org/2021/04/06/st-edwards-university-covid-19-vaccine/)@@St. Edward's University,29-Mar-21,Private,TX,✓,--,✓,--,--,R
[St. Francis College](https://www.sfc.edu/newsevents/news/details/~news-id/1192)@@St. Francis College,7-Jun-21,Private,NY,--,--,✓,--,--,D
[St. John Fisher College](https://www.sjfc.edu/update/vaccine-information/)@@St. John Fisher College,--,Private,NY,✓,--,✓,--,✓,D
[St. John's College at Annapolis](https://www.sjc.edu/2021-fall-plans)@@St. John's College at Annapolis,--,Private,MD,--,--,✓,--,--,D
[St. John's College at Santa Fe](https://www.sjc.edu/2021-fall-plans)@@St. John's College at Santa Fe,--,Private,NM,--,--,✓,--,--,D
[St. John's University](https://www.stjohns.edu/about/news/announcements/covid-19-vaccination-requirement-fall-2021)@@St. John's University,21-Apr-21,Private,NY,✓,--,✓,--,✓,D
[St. Joseph's College-New York](https://www.sjcny.edu/about/news-events/news/item/student-vaccine-mandate)@@St. Joseph's College-New York,29-Jul-21,Private,NY,✓,--,✓,--,--,D
